"","gene_id","gene_short_name","HIO_0","HIO_1","HIO_2","HuSI_Duo_A_0","HuSI_Duo_A_1","HuSI_Dist_A_0","HuSI_Dist_A_1","HuSI_Dist_A_2","HuSI_Dist_A_3","HuSI_F_0","HuSI_F_1","HuSI_F_2","HuSI_F_3","HuSI_F_4","HuSI_F_5","HuColon_A_0","HuColon_A_1","HuColon_A_2","HuStomach_F_0","HuStomach_F_1","HuStomach_F_2","HuStomach_F_3","HuStomach_F_4","HuStomach_F_5","HuStomach_A_0","HuStomach_A_1","HuStomach_A_2","MD_0","MD_1","MD_2","ME_0","ME_1","ME_2"
"3207","CDX2","CDX2",23.2642,21.8122,59.0696,60.5008,48.6701,70.0972,44.2958,68.7599,58.656,101.143,66.7326,60.7402,58.7913,85.9492,66.7428,56.75,30.1019,65.5544,1.9342,13.6888,0,0.0084276,39.3798,11.2605,0.581582,0.54222,0.464164,0,0.0705734,0,0.0804621,0.111066,0.0219257
"19724","SOX2","SOX2",5.01686,4.79703,0.227825,0.249376,0.627948,0.239624,1.43532,0.697058,0.318267,0.127729,1.5067,0.818746,1.07201,0.410745,0.540779,2.02502,1.05723,1.02294,11.8036,4.53377,18.3736,16.9983,5.39252,7.24282,6.98753,9.54931,13.2411,9.03292,7.41851,5.91186,150.7,135.838,156.297
