gene_id,gene_short_name,HIO_0,HIO_1,HIO_2,HuSI_Duo_A_0,HuSI_Duo_A_1,HuSI_Dist_A_0,HuSI_Dist_A_1,HuSI_Dist_A_2,HuSI_Dist_A_3,HuSI_F_0,HuSI_F_1,HuSI_F_2,HuSI_F_3,HuSI_F_4,HuSI_F_5
MIR650,MIR650,0,0,0,417469,395017,207619,1356260,238180,135483,0,0,0,0,10.6702,0
MIR5047,MIR5047,1315.74,1318.79,1412.82,218288,310817,196277,530914,119527,96720.9,4434.89,2054.97,2267.72,2154.72,1780.21,1733.02
SNORD55,SNORD55,335.887,166.412,293.413,0,221206,0,0,0,54794.3,0,426.755,291.883,272.979,302.156,328.806
MIR4461,MIR4461,276891,224989,324515,519268,73735.2,220654,1097040,115595,109589,2262.25,150164,424481,324367,355154,289934
SNORD87,SNORD87,781.39,845.153,413.932,48573.5,67237.4,49626.7,0,105402,0,245.801,333.959,261.045,427.242,243.209,392.09
SNORD33,SNORD33,109.67,254.223,149.413,29659,49684.6,28821.2,0,77890.4,0,188.511,66.6063,26.6489,21.3027,56.5912,91.2335
MIR1260B,MIR1260B,0,0,69.0047,0,39201,0,0,61455.3,0,110.148,126.306,118.475,145.428,114.469,173.007
MIR3918,MIR3918,0,70.7347,138.575,0,33801.6,0,0,0,0,113.722,21.289,16.6409,0,12.0586,43.7407
SNORD125,SNORD125,180.539,0,0,0,30385.9,0,0,0,0,3.11018,0,0,0,53.351,0
MIR1282,MIR1282,1275.04,781.221,955.768,28480.9,22201.2,8976.81,20698.9,10898.2,16451.5,530.796,4275.57,3796.98,4834.51,4694.15,3783.83
DEFA5,DEFA5,2.53198,3.31574,1.80955,10788.2,17439.2,22865,21201.7,19294,23713.3,10.8797,0,40.4805,0,51.7549,5.78627
DEFA6,DEFA6,0.624848,0.769219,1.03335,5330.29,9314.57,12620.8,11490.5,10215.6,12684.7,6.36195,0,41.1049,0,35.5459,2.5867
REG3A,REG3A,24.7097,20.9461,12.0031,5146.35,6780.03,7450.19,7894.14,7148.44,7938.48,0.833657,0,0.308869,0,0.636606,0.316945
TPT1,TPT1,5507.2,5799.01,5422.27,3922.84,5378.09,5005.26,4139.09,5241.13,4312.33,0,0,0,0,0,0
B2M,B2M,2082.3,2158.25,2510.55,5295.79,5316.85,4738.02,7579.86,6274.19,7105.21,800.821,601.809,966.352,584.533,1735.03,923.276
REG1A,REG1A,0.430422,0.624059,2.48279,9864.32,5227.03,4250.67,5945.07,2128.43,5691.32,0.402535,0,2.5399,0,4.9802,0.523619
FABP1,FABP1,1740.68,1975.28,4144.1,4442.59,5129.85,4901.97,5822.93,3656.17,3918.4,792.357,1205.76,385.063,1659.93,544.668,837.294
IGJ,IGJ,1.61098,1.99673,0.367611,5451.4,4494.79,6235.15,2149.52,3221.05,2714.5,0.374621,0.127913,0.674901,0.204553,0.525285,0.350416
RPL41,RPL41,6160.91,6473.41,6372.06,3562.88,4475.1,4365.25,3629.4,3764.05,3752.04,3721.75,4246.45,4179.83,4059.39,5820.05,4272.68
RBP2,RBP2,37.4529,39.6623,93.6647,2302.91,3819.33,3541.12,2198.41,551.724,2031.29,763.915,62.4527,1586.12,49.3512,2194.58,872.582
RPS27,RPS27,4532.58,4690.65,4006.41,2615.49,3786.74,3836.1,3180.43,3410.23,2932.55,3198.32,3502.52,3587.47,3323.05,4742.72,3532.97
EEF1A1,EEF1A1,0,0,0,2397.1,3519.59,3597.84,2627.19,2948.12,2839.26,0,0,0,0,0,0
RPS29,RPS29,5067.03,5069.93,3969.52,2592.2,3310.13,2963.34,2448.75,2323.17,2057.52,2312.45,3136.64,2455.55,3046.41,3159.24,2477.82
PIGR,PIGR,1.09273,0.925561,4.77025,2744.94,3156.9,1688.08,597.679,366.472,893.562,1.77518,1.21746,15.1597,0.945424,26.9776,2.46572
ALDOB,ALDOB,62.1767,63.2418,330.318,2283.66,3004.1,5283.04,2177.33,4233.43,3435.22,498.385,125.078,169.265,70.8945,208.728,134.328
RPLP1,RPLP1,3526.27,3250.46,2515.62,2481.5,2884.24,3085.06,2021.45,2142.12,1682.41,2301.16,2089.51,2298.66,2057.65,2824.72,2085.51
FTL,FTL,2321.05,2241.94,1932.37,2696.38,2880.34,3335.57,2632.86,3796.02,2478.66,0,0,0,0,0,0
RPS18,RPS18,3214.15,3868.48,3672.39,1989.52,2799.2,2720.16,2329.28,2353.89,2239.24,2309.69,3072.63,3289.99,3170.13,3710.12,3198.03
IGLL5,IGLL5,1.71713,2.52452,0.370929,3807.87,2629.82,1954.07,1143.58,1508.27,1049.07,0.306856,0.183334,0.450395,0.288476,0.445054,0.466372
RPL13AP5,RPL13AP5,3446.91,3080.79,2462.66,1957.52,2621.74,2446.65,1700.03,1810.74,1683.87,2298.71,1595.29,1782.15,1733.28,2451.42,1643.08
ANPEP,ANPEP,27.7055,27.5043,153.572,2724.9,2589.26,2816.26,1129.67,2350.05,2162.64,985.454,691.982,504.825,311.663,783.151,571.001
RPS12,RPS12,3432.08,3498.91,2439.22,1861.86,2406.54,1849.27,1784.88,1658.4,1696.07,1876.91,2019.64,2183.67,1947.64,2587.92,1979.01
RPS6,RPS6,3543.28,3763.65,2892.23,1674.28,2341.16,2181.86,1647.11,1796.48,1724.83,1902.23,2023.52,2293.53,1866.59,2828.58,2166.49
MIR192,MIR192,141.823,163.001,459.841,2347.35,2337.23,2560.59,1615.58,2956.56,3508.3,2516.67,427.579,422.178,618.986,344.166,331.367
APOA4,APOA4,89.3045,95.5739,151.816,2430.63,2287.13,3396.11,3545.24,1413.63,4565.21,377.643,20.1424,2456.14,11.3044,3191.29,509.057
RPL39,RPL39,3490.25,3096.54,3034.18,1785.67,2232.03,2175.08,1575.32,1693.67,1503.67,1784.64,1697.02,1768.17,1515.02,2060.08,1604.54
RPS28,RPS28,2344.79,2452.33,1499.97,1694.59,2169.31,2168.02,1460,1547.56,1363.31,1515.35,1126.42,1103.47,1233.79,1688.69,1237.82
LYZ,LYZ,3782.16,3797.71,593.311,6198.23,2138.02,1574.91,1256.92,1260.05,2163.2,79.8783,25.3346,49.732,27.0939,42.6096,57.5348
RPL37A,RPL37A,4265.35,3951.84,3425.37,1846.48,2088.84,2213.8,1591.85,1625.07,1719.09,1855.29,2105.82,1810.19,2179.65,2424.7,1840.32
RPS11,RPS11,2472.46,2590.71,1965.18,1505.04,2050,1845.66,1497.17,1570.99,1458.97,1393.14,1577.1,1589.3,1691.7,1803.96,1548.33
RPL3,RPL3,2667.86,2657.27,2054.09,1488.56,1991.65,2107.9,1409.31,1466.03,1460.35,2016.62,1919,2112.85,1908.34,2422.51,1939.82
TMSB4X,TMSB4X,9809.2,9855.53,8076.29,1963.39,1933.37,2037.35,3416.25,3323.27,3145.03,1127.49,1551.31,1058.34,1660.53,1167.13,1143.28
RPLP0,RPLP0,2269.21,2378.27,1949.25,1315.11,1916.72,1583.35,1211.79,1096.46,1168.7,1646.04,1387.96,1582.31,1471.59,1969.16,1564.79
GAPDH,GAPDH,2137.96,2132.87,2252.45,1435.49,1873.48,1505.23,1285.67,1522.88,1653.09,954.609,849.636,994.414,1019.65,1192.41,871.885
ACTB,ACTB,2505.99,2264.11,1598.52,1752.13,1857.95,1860.92,2330.25,2272.59,2196.35,1276.09,1281.18,1115.89,1347.34,1427.19,992.185
RPS4X,RPS4X,1471.3,1461.8,1348.8,911.881,1847.65,1276.62,947.156,946.267,958.572,1079.17,1655.28,1242.99,1089.85,2064.39,1841.93
RPL21P28,RPL21P28,2127.33,2250.5,1958.33,1027.99,1826.9,1428.47,1345.26,1468.65,1271.23,1092.97,1275.91,1479.26,1306.89,1521.01,1205.71
RPS8,RPS8,2429.75,2555.64,2057,1324.39,1804.51,1676.58,1352.27,1254.18,1174.45,1584.62,1804.99,1903.74,1867.75,2147.58,1867.79
APOA1,APOA1,1300.02,1171.69,227.545,2307.4,1764.58,7642.99,3359.2,1749.21,5411.08,3492.36,438.45,2842.08,271.505,4694.12,3628.76
RPS24,RPS24,2486.82,2518.83,1984.17,1247.18,1758.28,1670.75,1253.17,1411.33,1468.13,1615.34,1752.16,2177.52,1720.67,2435.38,2049.96
CD74,CD74,33.2948,36.4298,14.8022,1779.12,1715.01,2085.95,2825.58,2070.52,2069.5,318.061,183.447,373.217,229.616,541.659,425.285
RPL9,RPL9,2343.69,2318.14,2356.32,1183.55,1701.96,1577.53,1202.22,1371.7,1315.63,1768.51,1914.09,2051.01,1830.3,2240.61,1931.05
RPS25,RPS25,1825.55,1946.87,1797.59,1237.88,1694.51,1435.73,1464.17,1488.35,1379.88,982,1244.62,1300.92,1233.91,1563.99,1242.29
RPS3A,RPS3A,2205.19,2396.99,2385.19,1100.24,1688.06,1576.83,1180.96,1399.47,1303.54,1884.85,2114.29,2357.28,2036.42,2620.56,2392.81
RPL7,RPL7,2261.8,2336.07,2083.32,1100.31,1653.07,1477.84,1184.54,1264.53,1254.75,1731.64,1582.71,1996.67,1653.5,2154.93,1943.63
RPL11,RPL11,2066.74,2336.74,1810.38,1045.19,1608.61,1366.81,1209.28,1396.87,1251.41,1321.76,1420.36,1704.21,1483.67,1825.52,1550.25
RPL7A,RPL7A,2019.15,2144.49,1677.68,1107.86,1603.07,1419.32,1137.02,1146.63,1151.82,1344.7,1352.2,1563.94,1501.07,1866.31,1545.9
RPL31,RPL31,2692.7,2891.26,2550.75,1166.65,1602.55,1494.44,1333.86,1350.7,1300.97,1446.81,1813.09,1742.45,1898.04,2295.2,1841.85
RPS14,RPS14,2184.49,2359.04,2272.57,1049.03,1592.96,1637.54,1049.39,1240.99,1174.02,1473.7,1526.09,1475.44,1561.55,1848.46,1540.32
RPL19,RPL19,1879.35,1904.87,1465.87,1213.75,1581.21,1475.72,1186.29,1291.18,1233.7,1233.08,1067.66,1400.36,1124.1,1813.31,1290.12
RPL26,RPL26,2307.19,2402.8,2098.01,1147.86,1564.86,1489.34,1182.4,1239.68,1149.47,1498.23,1502.89,1871.54,1409.63,2297.85,1752.35
KRT8,KRT8,1405.6,1513.78,1566.71,1299.76,1563.89,1442.82,1443.44,1815.59,1679.92,903.78,695.259,612.668,748.083,832.43,803.992
RPS2,RPS2,2681.84,2592.79,1879.95,1284.35,1560.32,1875.91,1052.09,983.259,974.24,1966.12,1402.5,1999.73,1660.03,2284.67,1804.3
RPS15A,RPS15A,2413.55,2399.73,1951.39,1164.62,1546.48,1414.41,1157.45,1163.6,1071.14,1506.76,1641.2,1987.09,1652.11,2295.86,1736.27
RPS9,RPS9,1893.66,1837.41,1355.88,1099.21,1526.55,1304.2,1174.96,944.613,891.158,1208.91,1048.78,995.111,1059.4,1317.03,1069.63
RPL8,RPL8,2250.39,2091.15,1753.6,1275.04,1509.99,1643.68,1011.06,1167.14,978.925,1390.56,1209.54,1193.16,1325.67,1622.97,1215.65
COX7C,COX7C,1588.94,1534.52,1442.39,1318.14,1492.97,1348.6,1155.51,1361.41,1356.15,683.711,659.1,656.669,674.49,841.917,611.764
LGALS4,LGALS4,337.931,327.89,1229.64,1697.78,1480.37,1244.27,1368.78,1540.58,1023.36,571.163,892.424,208.513,919.507,438.875,485.829
RPL35A,RPL35A,1858.72,1961.9,1680,982.526,1450.22,1299.37,1066.97,1057.37,1021.68,1046.2,1337.68,1346.08,1341.48,1592.03,1343.62
TMSB10,TMSB10,3736.62,4264.24,3762.16,829.105,1397.49,1389.84,2099.32,2549.47,2271.88,548.515,960.636,737.252,1223.32,837.746,742.544
RPL12,RPL12,1708.85,1937.32,1533.37,806.954,1397.29,1156.17,1122.12,1073.19,911.832,1260.3,1436.36,1596.96,1225.4,2241.99,1461.69
EEF1G,EEF1G,1562.94,1572.05,1417.85,1122.1,1365.68,1557.04,996.949,1067.2,1061.15,1264.41,1266.29,1323.99,1244.23,1590.56,1253.33
FTH1,FTH1,1682.83,1709.09,2552.38,1349.89,1361.41,1791.77,1660.33,2047.42,1632.26,2302.61,1126.46,1197.31,1115.03,1619.32,1464.79
ACTG1,ACTG1,1897.48,1748.03,1277.14,959.184,1348.18,1200.68,1187.7,1038.48,1140.89,972.314,1095.92,1019.95,1362.35,1253.34,919.796
RPLP2,RPLP2,2234.59,1988.81,1411.81,1107.63,1333.9,1291.03,962.889,1080.45,773.902,1323.6,1194,1204.8,1179.31,1520.63,1145.9
RPL30,RPL30,1579,1698.29,1506.2,1041.5,1333.07,1414.54,1141.18,1213.55,1156.33,1243.32,1321.01,1420.04,1367.24,1813.2,1397.14
UBB,UBB,679.312,732.477,523.668,990.821,1315.48,1027.89,991.672,1192.03,1252.66,629.105,431.579,458.526,482.19,536.202,436.024
RPS16,RPS16,1851.71,1716.21,1264.51,999.46,1295.28,1113.01,955.008,917.535,1061.86,955.766,694.076,790.091,772.569,934.802,644.189
RPL18A,RPL18A,2115.96,1885.33,1287.46,1140.3,1294.83,1316.98,952.011,1005.48,861.928,1016.65,924.458,885.871,983.118,1231.08,922.62
OLFM4,OLFM4,19.0479,21.5441,25.3868,1125.76,1289.35,962.172,2157.64,680.909,1579.78,0.589068,0.262766,8.03816,0.190795,63.4046,0.564201
RPL29,RPL29,2037.13,1927.07,1547.86,939.125,1272.74,1177.77,807.163,895.09,845.211,1270.18,1158.11,1345.62,1250.32,1722.31,1247.6
RPL27,RPL27,2065.27,2205.04,1841.77,834.912,1232.87,943.314,1071.59,976.409,934.951,942.514,1095.71,1074.23,1071.21,1263.61,1042.36
MT1G,MT1G,17.2765,15.863,22.9082,92.28,1219.84,1322.62,1285.12,1860.65,762.075,1054.6,789.878,291.311,1257.05,208.951,614.289
RPL23,RPL23,1633.82,1724.82,1613.42,923.902,1210.84,1052.05,937.756,970.023,888.198,1400.75,1196.64,1396.54,1150.02,1522.77,1258.88
RPS13,RPS13,2059.35,1901.41,1620.27,991.825,1193.48,1220.32,892.756,921.394,848.932,938.801,904.921,969.046,861.01,1124.24,920.813
RPS10,RPS10,1470.31,1521.02,1215.55,958.154,1141.51,1114.35,987.184,929.452,891.482,1082.22,889.98,869,953.772,1163.96,942.614
RPL38,RPL38,1810.2,1655.75,1519.1,958.148,1127.59,1050.89,924.662,997.718,870.845,867.791,1019.55,1112,943.013,1357.86,980.93
RPL24,RPL24,1552.39,1574.03,1497.18,950.727,1127.54,1132.51,878.382,922.075,894.929,928.913,1032.93,984.792,1006.57,1158.85,981.078
RPL35,RPL35,1903.04,1875.2,1440.12,1016.44,1126.07,1086.35,931.815,901.769,876.924,824.874,945.917,1011.65,968.797,1235.49,918.995
RPL10A,RPL10A,1316.53,1425.13,1198.78,700.44,1117.75,916.519,752.553,863.137,829.174,1098.24,1181.12,1362.51,1357.06,1516.73,1269.34
S100A6,S100A6,3293.07,3409.41,3202.35,1004.44,1091.66,935.907,618.368,1183.48,814.561,168.952,385.719,98.4618,436.046,193.811,127.452
RPS21,RPS21,2140.66,1875.16,1529.88,1022.37,1090.56,1120.7,844.401,815.785,739.495,1012.42,803.621,748.13,877.872,1017.68,836.241
RPL17,RPL17,2036.14,2111.98,2004.78,754.051,1083.31,951.367,851.752,871.939,858.807,1052.4,1145.85,1250.12,1206.03,1551.16,1201
RPL36,RPL36,1540.94,1571.15,1323.11,891.887,1078.41,1243.75,793.011,874.083,770.817,945.305,902.807,1006.99,927.006,1397.89,808.667
RPL5,RPL5,1738.73,1886.69,1605.5,764.225,1070.46,1022.88,770.049,821.722,773.038,1324.6,1296.84,1444.43,1339.11,1600.09,1417.02
MYL6,MYL6,888.723,1046.59,929.534,815.782,1063.56,782.554,1143.05,1180.73,1217.1,454.117,902.799,495.703,931.41,636.565,525.708
CFL1,CFL1,1043.42,1012.38,839.177,1092.38,1057.02,1090.43,954.051,928.743,907.822,449.038,417.35,452.408,518.41,585.741,438.657
EEF2,EEF2,1007.95,916.059,812.882,774.674,1049.62,1025.19,642.632,713.229,614.94,982.941,807.569,866.957,875.53,1027.45,830.547
CLCA1,CLCA1,0.2439,0.16898,3.55193,666.875,1047.82,730.971,1898.98,1463.36,1483.08,0,0,0,0,0,0
RPL6,RPL6,1515.61,1625.45,1398.42,709.451,1037.76,837.34,809.527,843.196,771.355,852.736,985.058,1072.6,1026.08,975.863,1055.03
HLA-B,HLA-B,117.637,120.762,359.395,1250.67,1037.59,1482.07,1765.45,1140.88,1384.56,125.365,48.992,94.8246,47.5391,284.939,146.928
HLA-DRA,HLA-DRA,4.43343,3.86883,0.473711,970.693,1036.37,1318.05,1532.43,1457.22,1507.49,182.441,105.175,178.518,122.767,254.92,254.548
TM4SF4,TM4SF4,326.606,297.936,479.024,267.933,1018.61,613.411,595.223,36.8857,838.101,6.41134,10.2877,22.3532,4.37539,20.2747,8.22162
RPS7,RPS7,1509.89,1481.26,1195.42,734.879,1008.14,867.574,814.245,755.222,772.403,966.947,983.616,1220.46,1051.19,1363.65,1149.82
TSPAN8,TSPAN8,1392.66,1300.09,2254.26,1058.52,989.157,1282.64,690.88,1063.52,785.253,451.801,413.53,312.074,323.575,384.708,399.603
GNB2L1,GNB2L1,1409.15,1386.11,1179.71,828.951,941.244,1086.36,986.365,735.632,705.012,1387.93,1061.61,1359.98,1162.38,1487.26,1229.64
SLC25A5,SLC25A5,287.049,252.105,244.854,855.199,937.299,801.045,469.575,764.695,662.672,326.687,184.594,264.87,206.329,379.017,246.519
PRAP1,PRAP1,60.8841,63.3623,178.443,1150.81,907.89,1024.78,778.506,1320.91,1041.64,506.865,103.36,161.028,68.0757,211.521,334.984
RPL4,RPL4,1375.18,1376.1,1097.05,626.614,903.335,735.891,749.375,732.396,706.031,684.46,955.201,914.802,1035.54,906.917,942.183
TMPRSS15,TMPRSS15,0.0588532,0.054249,0.118425,667.649,901.975,46.6493,2.74021,10.6098,5.8164,0.0059875,0.0360939,0,0.0263862,0,0
AKR1B10,AKR1B10,44.6983,51.6033,16.9145,583.683,889.229,700.847,231.762,294.448,430.933,0.108382,0.41531,8.20242,0.407342,14.3968,0.720566
C19orf77,C19orf77,41.3211,49.9141,42.503,730.4,877.163,769.244,396.45,813.207,607.454,342.303,154.89,290.232,136.067,533.031,313.015
GSTA1,GSTA1,29.7784,29.6765,18.3137,496.504,869.839,651.384,473.847,911.39,613.624,358.833,195.572,109.669,177.6,149.633,181.849
RPS19,RPS19,2284.67,2033.8,1438.17,825.54,843.385,959.84,622.007,539.675,617.711,598.929,591.387,573.537,666.34,734.207,558.872
OAT,OAT,101.839,103.959,63.6901,773.184,826.465,901.588,779.246,962.35,713.107,989.476,284.154,751.91,251.181,972.967,793.726
EEF1B2,EEF1B2,643.715,706.622,564.333,555.095,809.951,788.466,507.234,619.571,594.28,679.417,599.716,926.683,564.884,1168.76,849.232
RPS3,RPS3,1137.37,1172.95,984.07,599.784,796.664,854.757,591.306,534.595,623.154,912.011,730.646,859.393,856.803,1147.89,872.499
RPL14,RPL14,1114.36,1147.09,877.562,553.909,788.851,719.778,664.218,625.124,605.551,673.384,809.77,960.255,810.816,1104.03,859.704
RPS27A,RPS27A,1208.25,1247.33,1077.12,508.486,787.752,712.436,622.9,673.765,619.177,703.326,797.306,816.767,799.651,999.418,794.133
RPS5,RPS5,1160.98,1079.5,745.653,660.372,781.695,868.233,590,583.107,539.564,871.276,735.004,733.112,758.295,1000.56,767.783
NACA,NACA,574.068,637.05,680.219,470.426,769.926,604.781,550.807,580.791,575.44,609.76,512.684,631.176,487.983,692.897,561.229
PTMA,PTMA,1059.18,1040.78,916.917,693.564,769.652,741.477,860.584,868.171,864.402,605.394,685.018,653.335,718.17,797.626,670.551
LGALS3,LGALS3,246.983,260.857,845.77,755.63,768.632,870.454,696.533,1250.68,876.522,833.355,799.076,580.485,1009.61,781.137,689.343
ATP1A1,ATP1A1,461.779,474.181,670.638,785.096,767.43,736.752,615.68,1179.98,738.585,463.131,265.413,388.638,220.552,514.114,390.816
ATP5B,ATP5B,370.81,370.323,384.156,692.263,761.558,668.463,501.799,577.128,601.487,272.341,267.387,277.451,311.309,335.121,258.766
RPL18,RPL18,1373.91,1199.37,1093.91,631.461,756.139,799.352,532.922,566.848,520.878,658.381,582.481,604.054,678.499,837.741,572.628
EPCAM,EPCAM,523.53,525.104,1040.09,825.748,753.957,804.14,733.707,952.787,884.58,570.454,524.181,463.137,506.07,625.918,491.413
MTRNR2L2,MTRNR2L2,1232.83,1276.56,2108.9,527.149,750.618,668.68,907.339,790.386,841.816,1073.84,612.768,671.046,805.276,863.857,631.855
RPS20,RPS20,1176.54,1093.66,1003.18,556.365,748.414,710.358,641.139,570.797,584.45,815.869,736.355,896.223,703.546,1137.02,859.301
P4HB,P4HB,707.192,674.434,540.833,673.731,748.149,673.233,589.188,429.403,650.627,365.276,183.002,285.104,197.579,382.603,289.133
RPSA,RPSA,527.347,545.285,371.603,535.196,747.21,677.302,573.742,563.747,544.538,641.704,294.599,300.326,309.561,301.357,280.023
RPL23A,RPL23A,988,1140,829.816,470.959,737.313,679.93,553.602,622.491,609.841,640.126,650.022,698.134,689.148,800.554,667.213
COX6A1,COX6A1,676.274,643.495,572.231,799.983,718.395,579.241,507.832,552.266,541.387,224.61,232.064,180.01,248.072,252.014,174.878
APOC3,APOC3,30.4121,29.9748,69.846,1464.37,715.359,1181.65,1218.67,649.967,2081.7,1398.69,126.043,1250.43,20.6042,1332.42,1422.18
PHGR1,PHGR1,397.818,408.966,839.931,604.489,706.161,1197.35,743.569,1846.93,707.379,1197.39,597.972,361.096,488.391,619.349,658.436
RPL13A,RPL13A,926.271,973.888,590.172,566.611,703.413,731.101,432.844,350.201,412.513,491.263,245.306,375.307,284.465,488.565,333.277
TAGLN,TAGLN,99.455,103.273,39.3935,286.074,697.077,183.205,694.257,577.923,679.21,45.3856,1019.36,248.948,748.153,351.818,220.551
RPS15,RPS15,1266.92,1195.51,920.646,669.743,692.763,859.86,572.087,591.302,534.582,778.495,565.832,626.863,651.404,885.419,629.251
ACTG2,ACTG2,47.8585,47.2696,9.79674,189.706,690.936,53.3281,520.174,473.35,476.664,37.3512,1027.5,340.12,898.412,556.994,277.356
H3F3AP4,H3F3AP4,934.39,830.127,750.446,658.01,689.985,562.959,701.433,776.911,734.653,482.686,548.861,506,531.405,576.413,531.555
ADH1C,ADH1C,27.2848,26.3842,25.0255,554.108,688.487,438.511,41.6524,165.624,128.165,34.8442,30.1094,18.2065,25.9517,36.9304,14.6001
HLA-A,HLA-A,230.978,238.165,422.228,1025.8,686.131,756.753,1092.25,779.323,814.227,188.035,82.9034,118.835,46.5558,219.719,146.274
CYP3A4,CYP3A4,1.68244,2.16159,1.42336,555.522,679.778,552,1088.72,725.945,341.251,3.64109,0.819506,4.6244,0.457889,8.87023,3.0716
MIR1248,MIR1248,0,0,22.3694,0,671.066,0,0,0,0,84.4812,38.0198,29.6187,37.3778,46.4523,25.9991
PEBP1,PEBP1,256.325,267.764,166.877,563.215,659.181,727.723,383.855,490.404,453.481,148.997,117.153,167.585,107.605,190.723,168.16
FAU,FAU,743.136,725.843,720.321,668.693,652.639,707.434,514.054,571.625,503.111,547.974,496.325,450.044,546.598,678.339,477.292
COX4I1,COX4I1,536.449,448.806,392.103,661.737,649.898,621.435,412.142,491.548,536.346,208.962,183.735,183.794,219.095,266.509,181.95
ATP5E,ATP5E,730.617,771.015,592.424,511.753,645.908,578.535,529.319,613.091,553.365,334.048,367.772,402.984,387.126,510.693,364.37
EDF1,EDF1,439.912,474.946,507.598,545.16,642.35,642.866,504.073,549.892,563.281,316.143,253.734,293.644,275.101,438.028,287.379
SPINK4,SPINK4,15.507,17.658,2.07561,202.772,634.488,229.893,2066.29,1117.91,494.139,219.268,37.8874,50.3279,50.7005,24.7519,62.2434
NEAT1,NEAT1,229.857,229.866,230.78,1129.12,627.235,909.353,883.229,746.419,993.622,569.734,362.228,269.661,242.519,269.81,274.18
CCL25,CCL25,0.528889,0.435967,0.854096,449.828,626.321,730.288,733.876,350.879,571.959,411.452,0.896078,587.524,0.309718,816.843,205.401
HSPA8,HSPA8,422.991,481.791,362.287,340.097,626.206,416.772,427.332,475.242,495.687,398.292,347.56,483.423,359.692,449.608,532.915
KRT20,KRT20,25.067,26.0902,283.352,329.671,622.413,784.656,767.727,902.243,1053.5,28.5232,36.8974,13.1363,27.3365,14.1694,19.342
ADIRF,ADIRF,3.8202,6.38211,1.67161,255.296,620.096,412.632,213.799,678.713,394.211,2.43125,2.87703,2.56898,3.18146,5.72435,2.29812
ATP5I,ATP5I,527.472,479.321,456.191,638.987,619.507,524.639,456.345,594.047,597.655,272.487,266.482,234.95,270.87,293.062,222.262
CBR1,CBR1,28.5007,29.0453,31.6536,602.86,613.121,519.028,271.975,332.862,275.714,32.5875,22.6861,38.3877,16.6893,52.7625,30.846
ALDH1A1,ALDH1A1,260.616,262.64,150.34,373.637,606.311,334.785,344.099,221.565,208.073,77.3968,96.6235,71.8174,118.714,59.5871,106.345
ITM2B,ITM2B,394.592,376.247,459.739,537.486,601.896,642.313,552.96,517.92,556.877,255.909,202.13,266.257,157.305,384.964,243.069
MT2A,MT2A,40.2572,35.8975,36.485,67.8158,600.855,637.664,962.675,1378.5,404.866,285.492,301.545,100.66,570.115,82.2233,215.668
C17orf76-AS1,C17orf76-AS1,801.807,923.575,762.089,391.664,591.904,525.64,287.833,397.869,401.234,1076.01,914.249,1006.19,814.224,1255.44,990.336
RPL10,RPL10,651.874,655.531,619.284,506.137,590.432,723.411,491.088,506.932,483.116,641.218,576.352,608.871,619.714,772.249,614.005
CES2,CES2,27.385,27.6529,56.9757,519.097,583.466,633.361,294.268,453.587,382.293,114.596,50.5203,90.9842,47.6031,131.511,84.3278
DES,DES,9.8038,8.72136,506.693,123.614,580.813,65.8219,298.481,347.493,320.626,18.5478,316.778,122.362,319.221,225.031,111.473
SI,SI,2.5735,2.60539,6.60025,490.712,575.911,480.464,424.366,456.046,473.578,252.663,87.8812,298.37,120.336,402.413,121.599
RPL34,RPL34,810.226,843.862,769.944,400.421,565.037,579.982,415.473,421.488,444.48,564.977,630.53,688.788,622.03,780.333,678.499
CALM2,CALM2,716.509,747.542,440.157,510.565,557.834,479.863,648.635,674.108,735.325,360.831,427.992,370.451,417.512,418.505,430.295
UQCRH,UQCRH,397.893,440.217,378.322,542.372,547.264,391.096,364.995,389.29,409.438,195.442,130.737,132.808,142.62,173.431,119.221
ATP5A1,ATP5A1,323.006,309.414,251.718,433.486,544.753,424.69,312.069,355.951,390.823,263.378,224.019,313.221,241.366,361.201,257.218
PLA2G2A,PLA2G2A,33.1579,36.1239,1.84093,553.379,541.546,810.382,1540.76,1314.98,1761.68,194.045,29.307,14.7538,50.2699,13.8001,144.377
MUC13,MUC13,111.652,115.757,519.707,650.245,541.287,441.855,294.103,363.911,949.067,672.515,291.613,559.188,171.652,979.362,583.1
MYL12B,MYL12B,512.487,539.192,642.447,485.717,533.724,435.783,446.373,565.431,579.534,239.199,220.693,237.139,232.795,283.682,238.219
MYL9,MYL9,117.372,123.576,69.366,139.886,530.014,99.7281,549.972,470.225,581.334,179.091,510.004,235.554,412.526,441.343,223.72
DMBT1,DMBT1,1.41102,1.15456,10.735,888.08,526.606,336.843,219.122,72.8516,206.928,51.1304,8.6266,102.704,8.02612,176.246,164.911
SLC26A3,SLC26A3,11.4596,10.1502,39.935,613.592,523.866,65.0245,93.563,194.983,133.054,135.015,80.4721,68.5332,105.609,130.415,129.293
PRDX1,PRDX1,615.008,586.779,377.367,486.322,521.322,474.646,356.082,433.766,340.693,113.508,140.612,126.336,142.89,144.149,138.592
SAT1,SAT1,673.863,680.659,691.306,718.126,519.656,536.215,524.134,531.494,473.058,287.59,173.824,256.919,130.691,304.285,199.578
AGR2,AGR2,1997.34,2287.99,744.131,897.916,511.264,419.467,743.911,703.919,556.079,387.415,575.013,436.911,728.703,358.403,665.478
