gene_id,gene_short_name,HIO_0,HIO_1,HIO_2,HuSI_Duo_A_0,HuSI_Duo_A_1,HuSI_Dist_A_0,HuSI_Dist_A_1,HuSI_Dist_A_2,HuSI_Dist_A_3,HuSI_F_0,HuSI_F_1,HuSI_F_2,HuSI_F_3,HuSI_F_4,HuSI_F_5
MTFR1,MTFR1,23.2948,24.1956,23.0101,11.0891,11.1024,12.8511,9.12427,10.9787,14.6437,7.85167,7.54338,8.04751,6.79075,9.12757,9.26945
AVEN,AVEN,6.34019,7.07772,5.62338,7.43801,11.0972,8.52385,6.63119,8.57185,7.47848,5.22582,6.69415,6.12929,6.70629,5.82332,5.88743
SSUH2,SSUH2,0.517898,0.562878,2.93824,7.80673,11.0942,19.9211,5.51089,7.94161,8.06766,23.7872,3.87543,31.5638,1.16172,24.2889,27.5405
KCNMA1,KCNMA1,0.610833,0.299877,1.40999,9.63144,11.0916,7.51329,16.6969,10.4976,14.1032,5.1477,14.7566,6.25275,14.3347,6.50262,5.07148
FAM129A,FAM129A,0.439012,0.452734,0.415597,6.35433,11.0914,6.9094,11.3369,8.5858,10.8303,1.17563,3.58676,3.22981,3.09824,3.37738,2.60189
LENG9,LENG9,12.2789,10.5484,9.29434,16.5132,11.0909,14.4708,8.20754,9.13705,9.26293,10.9416,8.12865,5.47385,9.34773,8.30299,7.49474
INSR,INSR,8.96755,8.67054,12.4208,8.95885,11.09,11.0723,8.46216,10.9906,11.2278,17.0458,15.4866,15.1409,16.8618,15.9482,12.6362
NUP153,NUP153,8.52339,9.66833,10.7309,9.30642,11.0864,9.83643,11.2064,9.68211,10.7302,14.6378,17.064,17.9824,16.3266,16.1589,17.8419
CRYZL1,CRYZL1,10.4382,9.91269,12.308,9.96343,11.084,8.29743,11.9803,12.3661,12.1572,10.3564,14.6908,11.7634,15.651,9.03159,10.6222
RAP2A,RAP2A,11.6659,11.3383,12.1138,9.21829,11.0818,9.32854,11.9729,10.5753,11.7162,14.3867,15.3437,16.0617,14.9494,11.1288,15.2937
KLHL7,KLHL7,8.71973,9.45511,10.1012,7.50208,11.0715,8.46004,10.3406,11.0525,9.55256,9.30995,13.3303,13.2553,10.1332,9.90803,11.3534
MEG3,MEG3,0.914377,0.850416,10.782,9.90226,11.0713,7.40139,22.7223,14.4958,21.2493,26.6841,86.4639,102.827,84.4793,17.1647,45.163
DVL2,DVL2,14.2466,13.0392,11.6315,17.6428,11.0656,10.9439,10.1814,12.1294,8.76952,20.0244,14.7767,14.0428,14.7286,16.5301,14.9055
MED30,MED30,8.11431,7.85203,8.8747,9.26634,11.062,12.6366,11.1734,10.4242,11.5779,9.49314,10.1024,7.64197,9.78136,8.74666,8.00044
ANKRD39,ANKRD39,8.95141,9.02381,7.90618,10.4277,11.0604,9.09932,6.94173,8.27758,9.50879,5.53453,5.79655,5.28974,6.52862,5.46695,5.39449
ACSL4,ACSL4,22.087,22.5122,14.7615,17.4682,11.058,10.8569,15.6702,10.2131,16.7927,4.15657,7.27952,5.60563,5.47125,5.81198,6.91109
NAPG,NAPG,15.0873,13.7369,19.8734,12.2313,11.0568,10.8694,12.6558,12.2538,15.7731,10.6474,10.9464,10.6043,8.86756,9.47004,11.2698
KIF1B,KIF1B,8.3976,8.20191,16.8016,8.06087,11.0522,9.06064,10.8686,9.32845,11.3249,7.30575,20.4951,11.6686,19.3857,8.5146,11.1303
MAPKBP1,MAPKBP1,4.34395,5.07891,4.41015,9.90861,11.0515,14.9307,10.0803,6.79945,6.37933,9.50473,5.81497,13.5077,5.1459,11.4791,9.38019
BID,BID,17.5516,19.5246,17.7587,8.39952,11.0496,8.10284,11.939,12.9314,13.1796,8.05518,8.59417,8.59124,8.3169,8.4552,9.62194
VIPAS39,VIPAS39,7.90048,9.24583,10.1887,8.87339,11.0453,10.3123,10.0885,13.4689,8.74242,12.7045,11.8789,12.0046,11.671,14.9674,12.1676
UBR4,UBR4,21.7335,23.1487,25.1784,8.84079,11.039,9.59597,9.73384,11.8551,10.0853,17.195,18.8848,19.988,18.7038,15.2688,18.8392
PARD3,PARD3,14.7689,14.3239,10.6118,9.59121,11.0362,12.3188,12.55,13.9844,12.6397,10.7889,17.7429,11.5226,17.998,12.0341,12.2032
ABHD15,ABHD15,7.17657,7.01854,8.20671,14.614,11.019,14.2091,10.7037,11.6023,9.99709,16.4922,9.36301,15.8908,9.15206,16.2431,13.5626
GLOD5,GLOD5,0.156961,0.0544022,0.0639472,11.2024,11.0148,15.8976,6.27534,9.56816,10.9774,2.10904,0.577391,1.74889,0.923337,3.59753,2.22434
PHKG2,PHKG2,12.5177,11.4832,8.1355,12.4631,11.0126,12.3727,8.1251,10.821,8.76977,8.47447,6.27398,6.86192,6.79736,7.21974,6.89734
TMEM57,TMEM57,12.0342,12.6681,15.6937,10.2382,11.0105,9.63129,11.2727,10.627,12.7107,8.034,10.107,8.88131,9.93713,8.40741,9.80472
MUC6,MUC6,3.75632,4.16597,0.31452,223.298,11.0095,0.0764156,0.0467223,0.0352999,0.0389699,0.0640835,0.121189,0.228124,0.189845,0.089658,0.132121
TMEM70,TMEM70,13.3106,12.519,11.7788,9.788,11.0083,9.53696,9.06553,8.17863,11.6879,8.17684,6.86228,14.5828,9.72123,12.582,18.2308
TOX3,TOX3,15.8045,16.4822,13.8167,8.77445,11.0023,10.0786,8.46729,9.73779,9.75503,6.65435,11.2894,5.83854,10.9919,6.4919,5.4501
CNDP1,CNDP1,0.0463583,0.0726835,0.0512616,5.89017,11.0002,2.91121,1.29463,0.139716,0.611385,0.0822991,0.0386703,0.181364,0.0247359,0.186183,0.0926947
TRAPPC13,TRAPPC13,8.50722,8.72168,9.75179,9.5781,10.9968,7.87672,10.9,10.3348,11.2425,8.03159,8.61266,10.3504,8.13515,9.60982,9.44062
GALNS,GALNS,18.1242,17.2251,13.4613,13.7734,10.9946,11.5438,14.2736,12.2436,11.0783,10.6484,7.39346,8.72467,7.7908,7.76875,8.78174
SRPK2,SRPK2,9.87306,11.2593,11.4661,7.13695,10.9934,7.76625,11.9456,9.59614,9.18391,8.61485,12.6005,10.0012,11.0053,10.6277,11.2143
PYCR1,PYCR1,71.0806,71.1247,51.5944,15.2768,10.9824,11.8399,12.7098,9.78844,7.54321,9.50162,16.322,9.09026,17.8406,6.50986,11.4586
PEX2,PEX2,10.8206,10.6447,13.2323,11.3721,10.9763,10.837,12.0391,12.1084,12.3911,9.66429,10.3421,9.00024,10.3249,9.64327,9.42339
TRAF2,TRAF2,10.8986,10.5849,8.26728,10.565,10.9759,6.73988,8.65239,8.93158,7.86453,10.9628,8.17421,6.70208,8.24462,8.3963,7.88473
TADA2B,TADA2B,10.0087,10.2073,10.7038,12.698,10.9707,13.8974,10.4809,10.1279,12.0757,10.4216,8.00811,8.11371,7.67921,8.58247,8.22839
ULK1,ULK1,18.1849,15.3468,17.5438,12.8823,10.9695,12.7763,9.21895,11.0524,8.5748,14.9103,10.804,8.50824,10.7831,9.13052,7.58626
NT5DC2,NT5DC2,108.948,101.792,57.7107,14.0502,10.9691,19.3274,12.1182,7.49489,10.8314,23.4638,29.2084,27.4809,42.2277,20.439,24.8091
SPEG,SPEG,9.9621,10.3448,14.2133,3.3489,10.9681,3.16548,11.526,7.22215,6.16735,2.11197,22.2164,6.07539,18.4483,6.87496,5.85695
FXR1,FXR1,17.7522,17.9219,21.3887,9.49633,10.9648,11.4347,9.1598,10.4534,9.62648,15.4694,13.8774,16.2749,13.3975,17.467,15.5894
TRPM6,TRPM6,1.03095,1.1103,3.86448,3.43184,10.9646,7.45082,5.93734,13.3695,5.31084,2.75301,1.07719,3.91979,0.85937,4.76987,1.97798
LYAR,LYAR,12.2125,13.3626,8.20691,5.72119,10.9607,5.7264,8.89886,7.30497,10.6335,5.80338,6.46117,9.50558,7.33619,7.48529,10.3504
SEPSECS,SEPSECS,3.86235,3.41989,6.63099,8.33217,10.9601,10.6112,8.74403,10.3909,9.1646,10.2006,6.17144,7.8359,6.25817,7.87075,7.47735
SIPA1L1,SIPA1L1,10.1221,10.2325,7.84627,9.44825,10.9581,12.3695,10.6936,10.4079,10.5867,7.1816,12.0093,11.2117,10.5701,11.3825,9.82338
CSRP2BP,CSRP2BP,6.36376,7.46311,6.58735,8.49142,10.9575,10.6328,8.48575,9.11098,6.99382,9.62262,6.96197,9.44269,7.16178,8.8409,9.70582
RBM8A,RBM8A,14.0618,14.3427,12.0013,11.8393,10.9555,11.848,11.2946,10.8551,12.4395,9.78436,11.0445,9.3401,10.5439,9.72267,9.63908
ICK,ICK,10.0727,10.5949,7.70765,8.80508,10.9538,9.94302,11.8479,8.95901,13.679,25.8523,21.6036,33.5427,16.9143,29.202,22.4567
PAPD7,PAPD7,20.1753,18.3678,18.1712,11.8842,10.9529,11.2274,11.3287,9.95166,9.41977,10.6228,10.0945,11.138,9.39439,8.29722,9.97211
TRIM31,TRIM31,14.6464,15.5189,58.1827,35.9472,10.9519,12.6096,18.2343,17.2184,49.002,8.33982,9.10387,1.61995,7.30461,3.12634,9.70369
HMG20A,HMG20A,14.1908,15.3623,14.013,10.4481,10.9457,10.9667,10.3093,11.42,9.79458,14.5907,16.4187,16.5031,16.7958,16.2793,16.5118
FLRT3,FLRT3,10.2038,10.0734,11.5371,17.7312,10.9454,3.55682,2.35594,2.1802,3.92871,27.5198,34.0675,54.8892,21.199,60.027,36.2007
SYP,SYP,0.849903,1.06632,0.504422,12.2247,10.9425,10.7591,23.0131,8.85902,11.5493,3.80868,15.0235,6.13871,15.0594,6.54514,5.31931
GUF1,GUF1,9.0874,8.69819,8.72123,9.93765,10.9414,10.9632,10.0598,11.3658,11.7904,11.633,11.3201,15.3976,10.9584,13.1888,14.8867
IL18BP,IL18BP,5.30072,5.05905,5.07774,10.6229,10.9335,11.574,13.5616,11.1064,11.382,4.73377,3.37693,6.09342,4.42596,3.9785,4.04206
BCAM,BCAM,53.7483,51.1077,38.5443,20.0796,10.9321,14.446,18.1838,12.665,20.8513,75.5165,56.1546,55.4781,74.9681,60.2724,49.926
USP11,USP11,36.441,35.1181,31.4207,11.1971,10.9312,12.8483,15.0902,12.1634,12.0821,23.4391,31.2984,21.6468,29.8088,21.3772,21.3883
OPLAH,OPLAH,4.33321,3.57832,4.13455,22.3768,10.9277,14.9481,7.20959,8.4244,8.11124,2.70841,1.31705,1.97979,1.78214,1.81911,1.81095
CSTF2,CSTF2,6.86969,7.96651,9.79673,8.81849,10.9274,8.11308,8.83372,10.0869,9.33854,8.84737,8.96761,10.527,9.32224,9.70102,11.0448
MPHOSPH6,MPHOSPH6,21.3787,21.6542,15.652,12.8798,10.9267,15.9715,12.1639,16.4738,14.8483,10.9313,11.9155,11.6802,10.7942,11.7716,11.763
USP40,USP40,7.95158,8.86168,8.5283,7.97785,10.9257,8.87971,8.87944,9.68067,8.48184,10.9511,8.62982,10.2494,9.53152,8.77122,12.2843
FAM175B,FAM175B,9.09503,8.89931,10.1552,10.1239,10.9236,8.85805,12.1134,11.9366,12.7218,8.79579,8.81781,10.52,8.48495,9.11961,9.3499
NCBP1,NCBP1,8.97771,8.60113,8.47122,9.35629,10.9192,8.59864,9.78238,11.4591,10.6919,11.8126,11.6034,12.472,11.498,11.5366,13.5816
MAGEH1,MAGEH1,27.889,27.7671,23.5921,9.08477,10.9181,12.7286,11.7397,8.94231,10.8048,61.7902,42.2272,42.4538,41.0899,50.4572,45.6304
C2orf72,C2orf72,47.1668,45.0014,30.3855,11.8071,10.9178,12.9517,9.40761,17.0576,8.02471,29.3966,24.9458,16.8732,32.1623,18.8679,25.9674
SLC25A4,SLC25A4,8.33038,8.13979,12.9862,11.6083,10.9172,10.1625,11.4486,12.024,12.229,6.78752,7.84499,7.33715,8.00561,9.31731,6.82958
ZNF91,ZNF91,3.71913,4.05284,5.68257,9.89796,10.9171,11.8215,11.9322,15.993,12.7966,16.8488,12.8381,14.7797,10.8686,13.6472,13.5753
DCAF15,DCAF15,16.3053,15.6926,12.5239,17.421,10.9166,15.0913,12.0238,11.8625,10.5339,10.2371,9.59188,7.70307,10.9023,9.12247,8.279
SNX18,SNX18,14.1454,11.56,12.5505,9.13559,10.9139,11.5667,11.9433,7.47321,9.52311,16.8703,8.39718,20.6138,5.46797,18.0199,17.9467
LOC148413,LOC148413,10.5542,13.0668,11.652,10.0843,10.9127,8.57974,8.7994,8.79231,8.102,11.0649,7.26467,11.4937,8.68704,11.7508,9.71136
EPC2,EPC2,6.9032,7.26092,5.5313,8.23313,10.9115,9.56664,10.7639,11.6746,9.47328,13.0785,15.721,15.3585,13.9178,12.8073,14.8476
PPARD,PPARD,12.2753,12.6187,25.1775,12.6003,10.9089,13.3512,17.5651,18.6404,14.2536,17.4986,13.6727,17.6432,13.6216,17.8875,16.7452
CCDC85C,CCDC85C,12.7525,11.2288,11.0552,11.5835,10.9076,13.4269,12.2187,11.5518,9.92738,12.2445,7.79316,9.91652,13.707,5.60723,9.92078
CUL2,CUL2,8.8907,8.83521,8.23656,8.74391,10.906,10.2513,10.2411,11.9447,9.52197,10.8094,10.179,12.5251,10.6493,12.1116,11.7222
ALKBH3,ALKBH3,7.94605,8.11237,9.56066,8.64324,10.9024,10.2086,7.71247,8.5332,6.15081,8.2036,9.30322,8.03342,8.25362,9.25974,8.54691
LOC388796,LOC388796,15.2199,16.2083,12.2696,11.968,10.9024,5.86037,10.8053,6.99403,8.42985,9.35993,15.5953,9.97356,10.1189,10.5873,12.1863
YIPF6,YIPF6,12.9099,11.801,15.4818,12.1323,10.901,10.2208,10.5087,11.142,12.9647,12.8276,11.4876,12.2041,9.9261,13.3876,11.5013
USP21,USP21,11.9867,11.7232,9.70659,16.4718,10.8979,14.2698,11.0459,12.4311,8.86662,11.9881,10.9445,10.3303,11.9722,10.3806,10.6527
PRDM2,PRDM2,7.54902,7.69428,9.33798,10.9601,10.8967,12.1811,11.9209,11.9554,12.9187,9.6031,14.0788,13.5482,12.7324,11.1229,11.579
MEAF6,MEAF6,9.35137,9.29248,8.51933,10.0102,10.8935,11.6575,10.709,10.6893,11.5633,7.31274,10.0073,9.33847,9.20002,8.71059,9.07995
ZNF189,ZNF189,15.3881,16.0662,19.6248,10.1068,10.892,8.38841,13.3805,10.8744,13.0947,33.811,21.8495,53.9046,17.3367,55.4751,37.503
TADA2A,TADA2A,3.69708,3.86807,4.12797,8.27495,10.8901,8.67978,9.75085,7.85373,10.3987,10.3837,12.0995,10.8261,12.0877,10.2093,11.1426
TESK2,TESK2,3.76617,3.64332,3.92666,7.74636,10.889,13.9092,8.98674,13.128,10.4938,5.70193,4.47808,4.33479,3.71907,5.1947,4.09228
MAMDC2,MAMDC2,0.472943,0.568826,9.49052,7.50519,10.8887,12.0775,15.3793,11.9972,21.3028,0.800292,5.08922,2.43718,4.27065,3.36577,2.22048
PELI2,PELI2,7.29422,6.42795,7.85351,10.3408,10.8876,11.6435,5.56074,6.25161,11.4876,11.5735,7.14312,10.8047,6.28094,16.6337,7.71098
IGSF6,IGSF6,0.113003,0.10354,0.0811378,9.72431,10.8856,6.2188,13.9199,7.80021,10.7589,3.89483,3.43851,4.83799,3.92975,2.77866,3.17132
ELL2,ELL2,15.7046,15.5784,9.19665,11.56,10.8807,10.7067,11.1386,10.4052,12.7761,14.3522,7.70244,17.0067,6.82552,20.5333,14.8013
FGFR1,FGFR1,10.9957,11.4488,7.00163,10.3107,10.8783,7.96399,14.3044,11.5238,14.1533,4.3693,15.7508,10.8052,14.512,8.92292,9.3267
SEMA3F,SEMA3F,8.88631,8.16508,3.03463,12.7685,10.8775,13.4534,11.8379,7.35526,11.899,3.06665,4.40164,5.68885,4.76709,4.96002,5.34327
RHBDD3,RHBDD3,18.6354,16.6668,14.3267,13.5015,10.876,9.60256,7.00585,5.201,5.27096,11.1343,7.08583,7.77783,7.47386,7.23016,7.74396
BLMH,BLMH,18.2883,19.0836,13.4941,12.6649,10.875,10.2272,14.9816,15.9643,12.7954,24.6878,19.7505,21.5232,19.3046,21.6816,24.0987
CSAD,CSAD,19.0347,19.4492,20.6789,11.9089,10.8708,9.13455,9.60018,11.6536,10.5255,12.3261,14.204,10.0595,12.7671,8.86702,10.859
KIFC2,KIFC2,33.1142,29.7467,23.1576,17.3244,10.8657,15.0123,10.4414,13.7893,7.19956,13.3373,11.7824,7.75413,13.1285,9.53712,9.35358
ZNF266,ZNF266,13.5043,14.6406,18.5282,8.83122,10.8629,10.2708,16.3449,13.3159,18.3832,17.3852,13.6901,19.0075,18.944,7.79954,9.10501
EXOSC4,EXOSC4,41.8778,39.0632,27.4712,17.3388,10.859,8.14019,9.35893,9.97829,11.9937,13.3315,10.3341,10.3205,10.8331,12.3697,12.9342
CASP2,CASP2,12.454,10.9932,10.3154,12.8308,10.8589,13.8352,11.4781,12.629,12.3096,15.0097,15.3504,15.3386,15.7725,13.4598,16.0127
EAF1,EAF1,8.9545,9.4449,10.0602,10.3114,10.8581,9.40282,10.0706,11.6705,10.4015,9.44463,9.32764,9.86692,8.93828,11.5664,9.67484
SNAPC2,SNAPC2,9.56571,9.95707,10.697,12.3678,10.8575,8.02285,6.29209,7.28132,7.08221,7.07924,7.70083,6.30275,8.62818,8.13091,6.45703
PKIB,PKIB,52.8256,52.8728,63.4726,11.3943,10.8561,15.7001,17.8856,31.0026,27.2739,31.3028,17.7003,10.6066,14.0516,19.1054,26.39
RCAN2,RCAN2,1.2958,1.08316,0.849612,10.5298,10.8559,13.3222,16.5809,15.096,16.9805,1.59355,5.00817,2.34056,6.52644,1.89818,2.76904
RALGPS2,RALGPS2,8.33828,7.61539,10.5554,8.66543,10.8554,9.76417,11.757,11.7074,11.8828,12.3978,14.8946,12.2024,11.6469,10.8258,11.2686
MICA,MICA,23.1432,25.4689,37.0683,23.6001,10.8483,17.4277,9.25495,19.5239,17.0718,1.90922,5.79956,2.38108,2.74022,3.45447,2.42576
SBNO2,SBNO2,14.9532,11.9149,11.8683,20.4656,10.8444,15.2163,13.7327,13.4392,18.9908,14.576,8.9242,8.73301,9.02846,10.6717,9.53837
C5orf4,C5orf4,5.85523,6.17478,11.9302,6.79793,10.8441,7.57188,18.6629,20.2554,16.6231,9.8662,8.06335,10.976,7.2863,12.9432,9.29534
NFYB,NFYB,11.4801,10.5487,9.89469,8.72795,10.8398,9.82645,9.80051,8.6147,9.46963,8.84692,9.93577,10.2909,9.37714,8.26354,10.3139
SLC43A1,SLC43A1,28.678,27.5417,9.64677,9.45953,10.8397,6.5449,5.11609,3.60585,4.42986,6.759,5.52851,5.64463,6.18595,9.51952,6.72511
MOCOS,MOCOS,2.17985,2.53895,2.24169,11.7977,10.835,17.1171,11.4111,9.18928,12.6136,1.9294,1.09279,2.15042,1.15362,2.72698,1.84226
MAP3K14,MAP3K14,2.01602,2.43405,2.11786,10.0627,10.8345,12.7249,10.8925,9.97888,9.77503,3.06862,3.16675,3.47962,3.22946,3.09546,2.9186
SLAIN2,SLAIN2,9.83941,9.049,11.5108,10.6518,10.833,11.7268,12.3162,12.3435,13.6909,9.12907,11.4024,11.2054,9.22918,10.6145,9.57666
CDK5RAP1,CDK5RAP1,11.4305,13.8233,10.7191,11.6963,10.8327,9.77014,11.6002,11.163,10.0914,9.18801,8.43849,10.1656,9.41759,9.63741,9.25027
C11orf57,C11orf57,11.6064,12.3452,12.9664,8.42581,10.8306,9.65192,10.1753,11.3494,9.06658,11.4754,12.6259,12.3285,13.0375,13.2224,13.741
DARC,DARC,0.609606,0.586495,0.0656568,20.7066,10.8202,9.36518,18.648,9.78474,15.5789,1.23981,1.63478,1.33386,1.89851,1.30282,1.06731
COG6,COG6,11.2088,11.4937,15.2759,10.5806,10.8187,11.0882,11.2863,9.89498,11.752,13.5045,13.4318,15.6977,11.9611,13.5855,14.4591
DDX52,DDX52,9.35421,9.55737,8.61636,9.69124,10.8176,9.79332,10.5242,10.1298,11.8577,10.6918,11.5236,12.9323,10.4533,13.5013,13.3605
RPAP3,RPAP3,8.48976,8.65464,7.018,7.33043,10.8133,8.73628,9.51241,8.44593,8.69267,7.82803,9.61613,9.65916,7.82678,7.23049,9.77013
SLC7A1,SLC7A1,7.35484,6.99112,8.70449,11.9184,10.8092,12.12,20.2713,12.75,19.5426,6.20797,6.11156,6.13729,6.46371,5.85527,5.8214
EEF1E1,EEF1E1,43.1098,50.7003,18.0997,10.3125,10.8088,6.51603,13.1234,8.94285,12.0061,10.819,9.67624,10.1442,7.55336,8.01918,10.3988
CTNNAL1,CTNNAL1,18.9501,21.3416,12.9535,12.1285,10.8082,7.30101,13.7986,10.6724,11.963,7.4269,12.2418,9.52192,11.8752,7.27028,9.04982
